,Date
0,2010-01-04
1,2010-01-05
2,2010-01-06
3,2010-01-07
4,2010-01-08
5,2010-01-11
6,2010-01-12
7,2010-01-13
8,2010-01-14
9,2010-01-15
10,2010-01-18
11,2010-01-19
12,2010-01-20
13,2010-01-21
14,2010-01-22
15,2010-01-25
16,2010-01-26
17,2010-01-27
18,2010-01-28
19,2010-01-29
20,2010-02-01
21,2010-02-02
22,2010-02-03
23,2010-02-04
24,2010-02-05
25,2010-02-08
26,2010-02-09
27,2010-02-10
28,2010-02-11
29,2010-02-12
30,2010-02-22
31,2010-02-23
32,2010-02-24
33,2010-02-25
34,2010-02-26
35,2010-03-01
36,2010-03-02
37,2010-03-03
38,2010-03-04
39,2010-03-05
40,2010-03-08
41,2010-03-09
42,2010-03-10
43,2010-03-11
44,2010-03-12
45,2010-03-15
46,2010-03-16
47,2010-03-17
48,2010-03-18
49,2010-03-19
50,2010-03-22
51,2010-03-23
52,2010-03-24
53,2010-03-25
54,2010-03-26
55,2010-03-29
56,2010-03-30
57,2010-03-31
58,2010-04-01
59,2010-04-02
60,2010-04-06
61,2010-04-07
62,2010-04-08
63,2010-04-09
64,2010-04-12
65,2010-04-13
66,2010-04-14
67,2010-04-15
68,2010-04-16
69,2010-04-19
70,2010-04-20
71,2010-04-21
72,2010-04-22
73,2010-04-23
74,2010-04-26
75,2010-04-27
76,2010-04-28
77,2010-04-29
78,2010-04-30
79,2010-05-04
80,2010-05-05
81,2010-05-06
82,2010-05-07
83,2010-05-10
84,2010-05-11
85,2010-05-12
86,2010-05-13
87,2010-05-14
88,2010-05-17
89,2010-05-18
90,2010-05-19
91,2010-05-20
92,2010-05-21
93,2010-05-24
94,2010-05-25
95,2010-05-26
96,2010-05-27
97,2010-05-28
98,2010-05-31
99,2010-06-01
100,2010-06-02
101,2010-06-03
102,2010-06-04
103,2010-06-07
104,2010-06-08
105,2010-06-09
106,2010-06-10
107,2010-06-11
108,2010-06-17
109,2010-06-18
110,2010-06-21
111,2010-06-22
112,2010-06-23
113,2010-06-24
114,2010-06-25
115,2010-06-28
116,2010-06-29
117,2010-06-30
118,2010-07-01
119,2010-07-02
120,2010-07-05
121,2010-07-06
122,2010-07-07
123,2010-07-08
124,2010-07-09
125,2010-07-12
126,2010-07-13
127,2010-07-14
128,2010-07-15
129,2010-07-16
130,2010-07-19
131,2010-07-20
132,2010-07-21
133,2010-07-22
134,2010-07-23
135,2010-07-26
136,2010-07-27
137,2010-07-28
138,2010-07-29
139,2010-07-30
140,2010-08-02
141,2010-08-03
142,2010-08-04
143,2010-08-05
144,2010-08-06
145,2010-08-09
146,2010-08-10
147,2010-08-11
148,2010-08-12
149,2010-08-13
150,2010-08-16
151,2010-08-17
152,2010-08-18
153,2010-08-19
154,2010-08-20
155,2010-08-23
156,2010-08-24
157,2010-08-25
158,2010-08-26
159,2010-08-27
160,2010-08-30
161,2010-08-31
162,2010-09-01
163,2010-09-02
164,2010-09-03
165,2010-09-06
166,2010-09-07
167,2010-09-08
168,2010-09-09
169,2010-09-10
170,2010-09-13
171,2010-09-14
172,2010-09-15
173,2010-09-16
174,2010-09-17
175,2010-09-20
176,2010-09-21
177,2010-09-27
178,2010-09-28
179,2010-09-29
180,2010-09-30
181,2010-10-08
182,2010-10-11
183,2010-10-12
184,2010-10-13
185,2010-10-14
186,2010-10-15
187,2010-10-18
188,2010-10-19
189,2010-10-20
190,2010-10-21
191,2010-10-22
192,2010-10-25
193,2010-10-26
194,2010-10-27
195,2010-10-28
196,2010-10-29
197,2010-11-01
198,2010-11-02
199,2010-11-03
200,2010-11-04
201,2010-11-05
202,2010-11-08
203,2010-11-09
204,2010-11-10
205,2010-11-11
206,2010-11-12
207,2010-11-15
208,2010-11-16
209,2010-11-17
210,2010-11-18
211,2010-11-19
212,2010-11-22
213,2010-11-23
214,2010-11-24
215,2010-11-25
216,2010-11-26
217,2010-11-29
218,2010-11-30
219,2010-12-01
220,2010-12-02
221,2010-12-03
222,2010-12-06
223,2010-12-07
224,2010-12-08
225,2010-12-09
226,2010-12-10
227,2010-12-13
228,2010-12-14
229,2010-12-15
230,2010-12-16
231,2010-12-17
232,2010-12-20
233,2010-12-21
234,2010-12-22
235,2010-12-23
236,2010-12-24
237,2010-12-27
238,2010-12-28
239,2010-12-29
240,2010-12-30
241,2010-12-31
242,2011-01-04
243,2011-01-05
244,2011-01-06
245,2011-01-07
246,2011-01-10
247,2011-01-11
248,2011-01-12
249,2011-01-13
250,2011-01-14
251,2011-01-17
252,2011-01-18
253,2011-01-19
254,2011-01-20
255,2011-01-21
256,2011-01-24
257,2011-01-25
258,2011-01-26
259,2011-01-27
260,2011-01-28
261,2011-01-31
262,2011-02-01
263,2011-02-09
264,2011-02-10
265,2011-02-11
266,2011-02-14
267,2011-02-15
268,2011-02-16
269,2011-02-17
270,2011-02-18
271,2011-02-21
272,2011-02-22
273,2011-02-23
274,2011-02-24
275,2011-02-25
276,2011-02-28
277,2011-03-01
278,2011-03-02
279,2011-03-03
280,2011-03-04
281,2011-03-07
282,2011-03-08
283,2011-03-09
284,2011-03-10
285,2011-03-11
286,2011-03-14
287,2011-03-15
288,2011-03-16
289,2011-03-17
290,2011-03-18
291,2011-03-21
292,2011-03-22
293,2011-03-23
294,2011-03-24
295,2011-03-25
296,2011-03-28
297,2011-03-29
298,2011-03-30
299,2011-03-31
300,2011-04-01
301,2011-04-06
302,2011-04-07
303,2011-04-08
304,2011-04-11
305,2011-04-12
306,2011-04-13
307,2011-04-14
308,2011-04-15
309,2011-04-18
310,2011-04-19
311,2011-04-20
312,2011-04-21
313,2011-04-22
314,2011-04-25
315,2011-04-26
316,2011-04-27
317,2011-04-28
318,2011-04-29
319,2011-05-03
320,2011-05-04
321,2011-05-05
322,2011-05-06
323,2011-05-09
324,2011-05-10
325,2011-05-11
326,2011-05-12
327,2011-05-13
328,2011-05-16
329,2011-05-17
330,2011-05-18
331,2011-05-19
332,2011-05-20
333,2011-05-23
334,2011-05-24
335,2011-05-25
336,2011-05-26
337,2011-05-27
338,2011-05-30
339,2011-05-31
340,2011-06-01
341,2011-06-02
342,2011-06-03
343,2011-06-07
344,2011-06-08
345,2011-06-09
346,2011-06-10
347,2011-06-13
348,2011-06-14
349,2011-06-15
350,2011-06-16
351,2011-06-17
352,2011-06-20
353,2011-06-21
354,2011-06-22
355,2011-06-23
356,2011-06-24
357,2011-06-27
358,2011-06-28
359,2011-06-29
360,2011-06-30
361,2011-07-01
362,2011-07-04
363,2011-07-05
364,2011-07-06
365,2011-07-07
366,2011-07-08
367,2011-07-11
368,2011-07-12
369,2011-07-13
370,2011-07-14
371,2011-07-15
372,2011-07-18
373,2011-07-19
374,2011-07-20
375,2011-07-21
376,2011-07-22
377,2011-07-25
378,2011-07-26
379,2011-07-27
380,2011-07-28
381,2011-07-29
382,2011-08-01
383,2011-08-02
384,2011-08-03
385,2011-08-04
386,2011-08-05
387,2011-08-08
388,2011-08-09
389,2011-08-10
390,2011-08-11
391,2011-08-12
392,2011-08-15
393,2011-08-16
394,2011-08-17
395,2011-08-18
396,2011-08-19
397,2011-08-22
398,2011-08-23
399,2011-08-24
400,2011-08-25
401,2011-08-26
402,2011-08-29
403,2011-08-30
404,2011-08-31
405,2011-09-01
406,2011-09-02
407,2011-09-05
408,2011-09-06
409,2011-09-07
410,2011-09-08
411,2011-09-09
412,2011-09-13
413,2011-09-14
414,2011-09-15
415,2011-09-16
416,2011-09-19
417,2011-09-20
418,2011-09-21
419,2011-09-22
420,2011-09-23
421,2011-09-26
422,2011-09-27
423,2011-09-28
424,2011-09-29
425,2011-09-30
426,2011-10-10
427,2011-10-11
428,2011-10-12
429,2011-10-13
430,2011-10-14
431,2011-10-17
432,2011-10-18
433,2011-10-19
434,2011-10-20
435,2011-10-21
436,2011-10-24
437,2011-10-25
438,2011-10-26
439,2011-10-27
440,2011-10-28
441,2011-10-31
442,2011-11-01
443,2011-11-02
444,2011-11-03
445,2011-11-04
446,2011-11-07
447,2011-11-08
448,2011-11-09
449,2011-11-10
450,2011-11-11
451,2011-11-14
452,2011-11-15
453,2011-11-16
454,2011-11-17
455,2011-11-18
456,2011-11-21
457,2011-11-22
458,2011-11-23
459,2011-11-24
460,2011-11-25
461,2011-11-28
462,2011-11-29
463,2011-11-30
464,2011-12-01
465,2011-12-02
466,2011-12-05
467,2011-12-06
468,2011-12-07
469,2011-12-08
470,2011-12-09
471,2011-12-12
472,2011-12-13
473,2011-12-14
474,2011-12-15
475,2011-12-16
476,2011-12-19
477,2011-12-20
478,2011-12-21
479,2011-12-22
480,2011-12-23
481,2011-12-26
482,2011-12-27
483,2011-12-28
484,2011-12-29
485,2011-12-30
486,2012-01-04
487,2012-01-05
488,2012-01-06
489,2012-01-09
490,2012-01-10
491,2012-01-11
492,2012-01-12
493,2012-01-13
494,2012-01-16
495,2012-01-17
496,2012-01-18
497,2012-01-19
498,2012-01-20
499,2012-01-30
500,2012-01-31
501,2012-02-01
502,2012-02-02
503,2012-02-03
504,2012-02-06
505,2012-02-07
506,2012-02-08
507,2012-02-09
508,2012-02-10
509,2012-02-13
510,2012-02-14
511,2012-02-15
512,2012-02-16
513,2012-02-17
514,2012-02-20
515,2012-02-21
516,2012-02-22
517,2012-02-23
518,2012-02-24
519,2012-02-27
520,2012-02-28
521,2012-02-29
522,2012-03-01
523,2012-03-02
524,2012-03-05
525,2012-03-06
526,2012-03-07
527,2012-03-08
528,2012-03-09
529,2012-03-12
530,2012-03-13
531,2012-03-14
532,2012-03-15
533,2012-03-16
534,2012-03-19
535,2012-03-20
536,2012-03-21
537,2012-03-22
538,2012-03-23
539,2012-03-26
540,2012-03-27
541,2012-03-28
542,2012-03-29
543,2012-03-30
544,2012-04-05
545,2012-04-06
546,2012-04-09
547,2012-04-10
548,2012-04-11
549,2012-04-12
550,2012-04-13
551,2012-04-16
552,2012-04-17
553,2012-04-18
554,2012-04-19
555,2012-04-20
556,2012-04-23
557,2012-04-24
558,2012-04-25
559,2012-04-26
560,2012-04-27
561,2012-05-02
562,2012-05-03
563,2012-05-04
564,2012-05-07
565,2012-05-08
566,2012-05-09
567,2012-05-10
568,2012-05-11
569,2012-05-14
570,2012-05-15
571,2012-05-16
572,2012-05-17
573,2012-05-18
574,2012-05-21
575,2012-05-22
576,2012-05-23
577,2012-05-24
578,2012-05-25
579,2012-05-28
580,2012-05-29
581,2012-05-30
582,2012-05-31
583,2012-06-01
584,2012-06-04
585,2012-06-05
586,2012-06-06
587,2012-06-07
588,2012-06-08
589,2012-06-11
590,2012-06-12
591,2012-06-13
592,2012-06-14
593,2012-06-15
594,2012-06-18
595,2012-06-19
596,2012-06-20
597,2012-06-21
598,2012-06-25
599,2012-06-26
600,2012-06-27
601,2012-06-28
602,2012-06-29
603,2012-07-02
604,2012-07-03
605,2012-07-04
606,2012-07-05
607,2012-07-06
608,2012-07-09
609,2012-07-10
610,2012-07-11
611,2012-07-12
612,2012-07-13
613,2012-07-16
614,2012-07-17
615,2012-07-18
616,2012-07-19
617,2012-07-20
618,2012-07-23
619,2012-07-24
620,2012-07-25
621,2012-07-26
622,2012-07-27
623,2012-07-30
624,2012-07-31
625,2012-08-01
626,2012-08-02
627,2012-08-03
628,2012-08-06
629,2012-08-07
630,2012-08-08
631,2012-08-09
632,2012-08-10
633,2012-08-13
634,2012-08-14
635,2012-08-15
636,2012-08-16
637,2012-08-17
638,2012-08-20
639,2012-08-21
640,2012-08-22
641,2012-08-23
642,2012-08-24
643,2012-08-27
644,2012-08-28
645,2012-08-29
646,2012-08-30
647,2012-08-31
648,2012-09-03
649,2012-09-04
650,2012-09-05
651,2012-09-06
652,2012-09-07
653,2012-09-10
654,2012-09-11
655,2012-09-12
656,2012-09-13
657,2012-09-14
658,2012-09-17
659,2012-09-18
660,2012-09-19
661,2012-09-20
662,2012-09-21
663,2012-09-24
664,2012-09-25
665,2012-09-26
666,2012-09-27
667,2012-09-28
668,2012-10-08
669,2012-10-09
670,2012-10-10
671,2012-10-11
672,2012-10-12
673,2012-10-15
674,2012-10-16
675,2012-10-17
676,2012-10-18
677,2012-10-19
678,2012-10-22
679,2012-10-23
680,2012-10-24
681,2012-10-25
682,2012-10-26
683,2012-10-29
684,2012-10-30
685,2012-10-31
686,2012-11-01
687,2012-11-02
688,2012-11-05
689,2012-11-06
690,2012-11-07
691,2012-11-08
692,2012-11-09
693,2012-11-12
694,2012-11-13
695,2012-11-14
696,2012-11-15
697,2012-11-16
698,2012-11-19
699,2012-11-20
700,2012-11-21
701,2012-11-22
702,2012-11-23
703,2012-11-26
704,2012-11-27
705,2012-11-28
706,2012-11-29
707,2012-11-30
708,2012-12-03
709,2012-12-04
710,2012-12-05
711,2012-12-06
712,2012-12-07
713,2012-12-10
714,2012-12-11
715,2012-12-12
716,2012-12-13
717,2012-12-14
718,2012-12-17
719,2012-12-18
720,2012-12-19
721,2012-12-20
722,2012-12-21
723,2012-12-24
724,2012-12-25
725,2012-12-26
726,2012-12-27
727,2012-12-28
728,2012-12-31
729,2013-01-04
730,2013-01-07
731,2013-01-08
732,2013-01-09
733,2013-01-10
734,2013-01-11
735,2013-01-14
736,2013-01-15
737,2013-01-16
738,2013-01-17
739,2013-01-18
740,2013-01-21
741,2013-01-22
742,2013-01-23
743,2013-01-24
744,2013-01-25
745,2013-01-28
746,2013-01-29
747,2013-01-30
748,2013-01-31
749,2013-02-01
750,2013-02-04
751,2013-02-05
752,2013-02-06
753,2013-02-07
754,2013-02-08
755,2013-02-18
756,2013-02-19
757,2013-02-20
758,2013-02-21
759,2013-02-22
760,2013-02-25
761,2013-02-26
762,2013-02-27
763,2013-02-28
764,2013-03-01
765,2013-03-04
766,2013-03-05
767,2013-03-06
768,2013-03-07
769,2013-03-08
770,2013-03-11
771,2013-03-12
772,2013-03-13
773,2013-03-14
774,2013-03-15
775,2013-03-18
776,2013-03-19
777,2013-03-20
778,2013-03-21
779,2013-03-22
780,2013-03-25
781,2013-03-26
782,2013-03-27
783,2013-03-28
784,2013-03-29
785,2013-04-01
786,2013-04-02
787,2013-04-03
788,2013-04-08
789,2013-04-09
790,2013-04-10
791,2013-04-11
792,2013-04-12
793,2013-04-15
794,2013-04-16
795,2013-04-17
796,2013-04-18
797,2013-04-19
798,2013-04-22
799,2013-04-23
800,2013-04-24
801,2013-04-25
802,2013-04-26
803,2013-05-02
804,2013-05-03
805,2013-05-06
806,2013-05-07
807,2013-05-08
808,2013-05-09
809,2013-05-10
810,2013-05-13
811,2013-05-14
812,2013-05-15
813,2013-05-16
814,2013-05-17
815,2013-05-20
816,2013-05-21
817,2013-05-22
818,2013-05-23
819,2013-05-24
820,2013-05-27
821,2013-05-28
822,2013-05-29
823,2013-05-30
824,2013-05-31
825,2013-06-03
826,2013-06-04
827,2013-06-05
828,2013-06-06
829,2013-06-07
830,2013-06-13
831,2013-06-14
832,2013-06-17
833,2013-06-18
834,2013-06-19
835,2013-06-20
836,2013-06-21
837,2013-06-24
838,2013-06-25
839,2013-06-26
840,2013-06-27
841,2013-06-28
842,2013-07-01
843,2013-07-02
844,2013-07-03
845,2013-07-04
846,2013-07-05
847,2013-07-08
848,2013-07-09
849,2013-07-10
850,2013-07-11
851,2013-07-12
852,2013-07-15
853,2013-07-16
854,2013-07-17
855,2013-07-18
856,2013-07-19
857,2013-07-22
858,2013-07-23
859,2013-07-24
860,2013-07-25
861,2013-07-26
862,2013-07-29
863,2013-07-30
864,2013-07-31
865,2013-08-01
866,2013-08-02
867,2013-08-05
868,2013-08-06
869,2013-08-07
870,2013-08-08
871,2013-08-09
872,2013-08-12
873,2013-08-13
874,2013-08-14
875,2013-08-15
876,2013-08-16
877,2013-08-19
878,2013-08-20
879,2013-08-21
880,2013-08-22
881,2013-08-23
882,2013-08-26
883,2013-08-27
884,2013-08-28
885,2013-08-29
886,2013-08-30
887,2013-09-02
888,2013-09-03
889,2013-09-04
890,2013-09-05
891,2013-09-06
892,2013-09-09
893,2013-09-10
894,2013-09-11
895,2013-09-12
896,2013-09-13
897,2013-09-16
898,2013-09-17
899,2013-09-18
900,2013-09-23
901,2013-09-24
902,2013-09-25
903,2013-09-26
904,2013-09-27
905,2013-09-30
906,2013-10-08
907,2013-10-09
908,2013-10-10
909,2013-10-11
910,2013-10-14
911,2013-10-15
912,2013-10-16
913,2013-10-17
914,2013-10-18
915,2013-10-21
916,2013-10-22
917,2013-10-23
918,2013-10-24
919,2013-10-25
920,2013-10-28
921,2013-10-29
922,2013-10-30
923,2013-10-31
924,2013-11-01
925,2013-11-04
926,2013-11-05
927,2013-11-06
928,2013-11-07
