,801140.SI,801110.SI,801750.SI,801890.SI,801200.SI,801120.SI,801050.SI,801760.SI,801770.SI,801160.SI,801150.SI,801780.SI,801790.SI,801020.SI,801030.SI,801080.SI,801230.SI,801130.SI,801210.SI,801710.SI,801740.SI,801180.SI,801170.SI,801040.SI,801730.SI,801880.SI,801720.SI,801010.SI
2010-01-08,-0.07168972686213415,-6.185432302427952,3.9666681305168927,-1.7352914676997955,-1.5570678892499301,-3.472851058121207,1.046866153222914,4.656643500997726,-1.2016268749362902,-1.3564941179533552,-1.7835428730601732,-3.860029254804964,-1.56045452165261,-0.5402175429656486,-3.9496903877900835,4.627747641033242,1.0842950098623794,-1.351658229644681,1.6502082683970354,-2.511765052780557,-0.27593531659672044,-3.0738182746865905,-1.0479008527437217,-3.317411639829848,0.8261614858536381,-7.203554581757087,-1.104472557509506,-1.0590956763803616
2010-01-15,6.3193711375073125,3.705767138193683,10.068956777933824,4.603718917332933,3.9492805440092926,5.310268749022806,-1.2707016523810344,9.148736829993908,8.880813953488364,2.4221255405351805,6.526333586947342,-3.1821855282079037,-0.7748639112009625,-4.393094257108099,2.224468494927767,5.428475858431225,3.3643413460729743,7.287315419182483,5.327767459850108,1.3453446477786013,5.979827089337175,-0.7033964079813715,5.869005804015859,-2.259821312681165,3.8592486131681314,2.911096529715751,1.559029850016147,4.660171090890164
2010-01-22,-4.329133691282938,-4.73046704495853,-8.408166398035155,-5.788666345268878,-2.9721975044547544,-3.9782826554052186,-6.946304581160534,-1.4381447180182194,-6.825394774805038,-3.198082696594473,-3.420875455353012,1.121587622563447,-3.173099833214199,-8.327219486054037,-6.2354051451191665,-7.637723692318965,-1.674071421984269,-3.6136392082536273,-0.5862172775302099,-4.83171257553654,-6.93208800086701,-3.0535870345854144,-0.9012909040586381,-7.1365136629861325,-3.299012131606105,-5.424734844799072,-3.0066133934463335,-3.9221161537041582
2010-01-29,-4.675660970498141,-1.5427788522113017,-0.06441949134787794,-4.69013127901674,-3.138943713993625,-0.5770242556344174,-7.137170038584806,-3.1688311688311654,-2.6690268104320847,-3.545551754584453,-0.09966389940306852,-5.068672588321011,-6.287795365203963,-4.29050368749142,-5.410669506372157,-2.505631560520283,-3.705277095804249,-4.052424590954606,-3.171993810419138,-0.6056196688409399,-2.8762584292262527,-5.903843865286196,-4.868625527252424,-3.895059227304143,-3.364877010200429,-5.777046144348985,-4.64177347827599,-0.42068551048758396
2010-02-05,-2.236080648997185,-1.3611286360524666,-2.7954070215341797,-2.217883639203455,-1.3210585468592106,-0.9330896932467581,-2.9338052630421885,-2.5751072961373245,-5.471613895800487,-0.2907217443304688,-2.0958258599280466,0.135533991680159,-1.1809731376204557,-3.237657238420699,-3.8182881256832113,-3.2340465897849224,1.279943164564945,-0.7298705567317265,3.5154464503579286,-2.325675314120146,-3.602336886621771,0.00822066802412813,-0.28756290438533005,-2.857877996912417,-3.710266892707903,-0.9264261330329426,-0.14113113217373296,-1.3193303915942756
2010-02-12,2.6694200579509664,3.129522020966302,2.200788229395245,2.769347496206387,2.9679682434097687,1.9956045681095658,6.208595209784273,3.645698367452699,2.12685798676866,1.6183947074617677,2.1902854525695625,1.4256652357015787,4.347883852710033,5.63526072262539,2.965130548056427,2.6076057501768,1.8000486499635038,2.436993611717031,1.7433483177402564,1.79418665949993,3.595617417261243,2.0243311771661388,1.7601739412721695,6.060064525805542,2.36126512421726,3.304426010789485,1.1796671690595506,0.837673763416058
2010-02-26,5.344825770579509,5.563277442511039,4.831162528157162,3.978939597054665,3.6188254212435655,-0.6848919756055283,-0.3507930161268824,3.5627783420579595,4.2369421613618785,3.700979724514908,5.849499436451633,0.13264411984597047,-3.738270158774626,-1.454723940345648,2.4903006256004723,4.862935640827937,8.355422188880567,4.930578331693458,2.6614195325221246,5.072160237614698,6.684057148470335,2.7223005531367583,3.3982491282736005,0.5319645076169,4.4095249219578525,5.9364409991773615,3.0694135899510977,6.00043748011454
2010-03-05,-1.247544646204135,-0.794179902998382,-0.6013516573654232,-1.2780507857022783,-1.3377258884159526,-1.3275736267425842,-0.6920183824906334,-2.006789890607308,-2.3126542437984066,-0.7652636832473858,-1.6152551035747642,-0.06141717111706191,0.45633109797231786,-1.8611290572902228,-1.5496137593966064,0.10282241007919524,0.7231102973983328,-0.20792375223099846,-2.209091284737563,-0.6325275734183622,-1.945879584633492,-1.1852544571480328,0.2952561697059375,-0.24152926634363192,1.0647632250875283,-0.3882676900325177,-0.7776321974735767,-0.8038570128785949
2010-03-12,-0.6812533847563196,-3.0034860766936955,-3.0097608391891684,-1.4412794549067853,-2.3762277214444683,-2.363455116165958,-1.149100194749042,-2.76233736238356,-2.7113322384310634,-2.0011470419552535,-2.959624126208027,0.4550877037953427,1.838758097645754,0.32970892567849575,0.30527914870728257,-2.4456998719290635,-3.199067214525375,-1.1784198461154416,-2.6006065156553237,-1.4112143397272514,-1.424204167231824,-0.20606848800681643,-3.3591592622798316,0.8619499930996088,-2.2818136435656444,-4.395879229058242,-1.506468895373736,-3.4466781398339474
2010-03-19,3.416891316866355,2.4205526134607025,4.917031616200118,2.9708008872075142,2.6715593254277747,0.7980268272848479,3.97541017109877,4.492407087773742,1.8172158862403087,2.1775144732458784,1.8831531793955358,0.5529876527413435,2.068020350509725,1.0833825141219,2.981181023050894,6.881293357945872,4.638172082601333,3.9825630802162726,3.2703949168719104,2.0023528077085295,1.520989013315277,5.169386269219234,3.3800564823279977,-0.012195593523833814,2.3941788071085712,1.8676425569810418,2.622017991833059,2.57959631374316
2010-03-26,-0.7204241731383232,2.209454231827812,1.508962731157859,1.7978198636715348,-0.11112093813284707,0.8841339078319743,-2.535838771391874,2.276171425107587,-0.974315711450402,-0.10750272061188504,-0.0945294007042019,0.8803916032750214,-2.1426580867450418,0.3410592964496084,1.2553390611696358,1.7900676497178747,-0.2724494309727654,0.08216672777634493,1.9269173845885446,2.0065668581597196,0.8716050669864028,-1.6050776068694428,-0.37092067811174134,-2.883865939204988,1.3618339421600067,-0.7040194950838852,0.3729817597957652,0.22865489817935902
2010-04-02,4.723686431003493,3.4071684143037295,2.950027446675052,4.62493931427419,2.994975832688196,0.294618435073013,6.806778275530112,2.726329826640983,0.11030733396037995,2.7927860378340608,3.239470753238183,2.594474423811466,4.951296074560685,7.80541310232421,2.383301945141314,4.843926103787921,3.9008236136173435,2.848314978702726,2.40916108946454,3.0356182047021507,2.1849903360172007,5.736905275729742,1.7393241791216374,2.5470819599818784,5.169343896728695,5.8104791671252265,3.1396862300913098,1.5240635343986009
2010-04-09,2.7925361745287702,-1.9320618259784372,4.577459759772617,0.23551454236634406,1.2026548340948962,0.9316416432642693,1.0928782904674694,2.953988172508293,1.8721746444786413,0.3291012147138783,4.324026001593273,-1.0385169532225569,-1.3314421386944497,-0.7058413357179938,-1.2329757375625028,3.483209086022754,2.0680822575715796,1.5364279338048625,2.1596185994675388,0.5199011727682334,1.4100035401810596,-4.1753338254042704,1.5721859778389247,-1.4401061036482088,3.2918285245681522,-0.9407592119256347,-0.028899785178260196,1.639574977130387
2010-04-16,-0.39422176934106323,-1.645442605297709,-0.5125963963471758,-1.0577620166481672,-0.23632217355412655,2.2159089675947596,1.9277846539276666,-2.6913054442545215,-1.0309079232637464,-0.4537562118840599,1.7948447882954355,-1.871709657882048,0.6687667191679791,0.19514434942318193,-0.6381004741942031,-1.1398665356864623,-0.8835719310253065,-0.8516915481765808,-1.5085031333713195,-2.766398601238562,-0.22142650535114106,-5.090769042242183,0.20447906523857196,-1.315972916780328,-1.4830399955871432,-1.402228551179241,-2.1213756420015994,1.5360472629927235
