,801140.SI,801110.SI,801750.SI,801890.SI,801200.SI,801120.SI,801050.SI,801760.SI,801770.SI,801160.SI,801150.SI,801780.SI,801790.SI,801020.SI,801030.SI,801080.SI,801230.SI,801130.SI,801210.SI,801710.SI,801740.SI,801180.SI,801170.SI,801040.SI,801730.SI,801880.SI,801720.SI,801010.SI
2017-01-03,1.1073748701607489,1.829834499171401,0.6887110809262076,1.0044278579390387,1.3999215216215832,0.57271414732043,0.8653297521466374,0.5422858798691976,1.2603804699923504,0.741095073693554,0.6655842906718279,1.1146358151396418,1.0573667581028179,1.0134316903853913,1.0954257675524603,0.7621622680695106,0.8343137393868272,0.8490679226435871,0.8690047285647706,0.7945257757094648,3.036341332017889,0.7831761848747565,1.2349930575145551,1.0008666181773096,0.6601339318366373,0.8239141660451033,0.7937198277736757,0.9683455295211418
2017-01-04,1.1779557722444656,1.154934232911753,1.1133712045361177,1.0413872155696113,0.9637784118256221,2.4525478104194365,1.2955512508485256,1.166007905138322,1.3182519561654837,0.5942263358909905,0.6248757892161949,0.20422977079515015,0.27143832874068075,0.8258947915763981,1.6677213678479186,1.2895050685748366,0.7427858122849296,0.8565831848515337,0.9136246252642755,0.6413728428820598,0.8793977763079219,0.6165798253940258,1.1442922903216468,1.2066053021684509,1.2855868278043525,1.5457777069604717,1.19923441318881,1.035193021595049
2017-01-05,-0.08949084870022439,-0.12993628124670087,0.03335438829092929,0.2679217958001523,0.12489988940163066,-0.397311027971059,0.47508914731850815,-0.43384124503482724,0.3609852296595495,0.02428537712453327,-0.12204679051123213,-0.06814247301927256,-0.23605818070782103,0.7985009841589008,0.15414201617756085,-0.1807728117691032,-0.3865152233974323,-0.11137568169597989,0.11268942202189436,0.007489279879613342,1.1633497979905094,-0.16215855097870824,0.8272210096962329,0.1438233546418921,-0.1239572906239661,-0.011208102711057766,-0.24181660920730152,-0.05607771436583198
2017-01-06,-0.8113066170581051,-0.874361742872598,-1.4245910760914082,-0.5542716833971228,-0.9709089177736385,-0.3691217139521141,-0.6157258162908463,-1.1167155808801343,-1.0080651944966879,0.3364930854774295,-0.8726107463965516,-0.6533237500230382,-0.9576503134288816,0.09863110262182673,-0.4948405253283217,-1.2167368630241482,-0.8819285884379968,-1.0284901380291478,-0.3038841058506381,-0.8709554386386542,-0.16048986444778812,-0.3651958796333843,-0.1898496107195835,0.40817406356177255,-0.8238440375707534,-0.31516981244873454,-0.5611288520366187,-0.32847248604577217
2017-01-09,0.23791537506403504,0.03999720407894536,0.2139439898017237,0.9361969947289772,0.792535054435084,0.1838743859978731,0.310452256371363,0.15377365510058638,0.14819497836555673,0.8857851757937629,0.48592542579215525,0.23930323801397702,0.3940143105046534,0.2351183968787085,0.4875792500412368,0.356602830758046,0.7603230100877045,0.2944106376307376,0.3131996525441272,0.0867890849549191,3.623009199723004,0.29835619170504035,0.6186292739638777,0.9018605579038885,0.5467177565371184,0.7266014468308324,0.7294698448955694,-0.33131417379627104
2017-01-10,-0.22580076980160957,0.011450929854328606,-0.4546097001685623,-0.5863660890940814,0.647398005716493,0.05340676546483625,0.5031275496328425,-0.2212261542144489,-0.7537935739182711,-0.6077476850522512,-0.20017485075966013,-0.1261516348820102,-0.18232296026188255,0.35383338385399643,-0.5133587618408098,-0.3585689574340689,-0.44433597859107055,-0.2481725975398641,-0.37947490290983765,-0.12936860397759764,-1.7105796997685108,-0.21407193222746645,0.016960711219149438,0.9061099940686823,-0.2959942777789881,-0.421615124558794,-0.9619253136315398,-0.6354137249364511
2017-01-11,-1.277127750397189,-1.154082759396935,-1.0337417722377396,-0.9082575446891616,-1.154522067675079,-1.2533475328178612,-0.542010553375738,-1.0697001034126186,-1.8124491317342728,-0.8493875164847009,-0.897046822401304,-0.34712356857851123,-0.30778719391779674,-1.2206413730804,-1.3750383101115204,-1.0640023882456884,-1.2840128147691088,-1.3105160243520264,-0.9265914969751932,-0.742592094601835,0.26648536758591135,-0.965085304105584,-1.677765805232212,0.3848457289887586,-0.9811762017728265,-1.1838764104777466,-0.9180269345347991,-0.9731301217374977
2017-01-12,-1.3121174456509066,-1.0328769382394132,-0.8605995717344661,-1.072389322361933,-1.1885285989094774,-0.5533464473496896,-1.0828547097377905,-0.7409141844090139,-1.0876909467055773,-0.8384953704497211,-0.8244928944101004,-0.10226850130160559,-0.10648170180364014,-1.0774014334868909,-0.9645322257746392,-0.2810785281586847,-0.5877047261849788,-0.8582991400146178,-0.7613751710137229,-1.206244422093461,-1.491742141715513,-0.516196327080376,-0.767141204285926,-1.3891190584041313,-0.8539713996782994,-0.9987614752626106,-0.6693523588846895,-0.545010448774097
2017-01-13,-1.758195406532559,-0.7506551370481285,-2.265751726312759,-1.525125504478786,-2.013183127460194,-0.8742123272688196,-1.6472892204187906,-1.0202534205028035,-1.362328740594143,-0.554159306108204,-1.0256915893549157,0.7733829688227001,0.4287628405538202,-0.9680886100084996,-1.4192528406176685,-1.319892119457966,-1.7431026710729935,-1.5676113911204492,-1.432149451581577,-1.343750672144195,-1.4313633905305045,-0.17481579327568442,-0.7491735193050686,-0.8559680617850618,-1.1748478174185562,-0.6379244155065189,-1.1660485681586508,-1.913631089441059
2017-01-16,-4.208530748368022,-1.5484430621875767,-4.203177521762857,-3.3692562396526404,-3.33972489858011,-1.3056300447381042,-2.11366471091623,-3.2497765672213297,-3.7050655053011083,-1.6713944045831264,-2.4889532056348806,1.4092961830792117,0.4672536985976361,-1.3807085867646784,-3.1946085242610334,-3.3840287707439742,-3.784159711994761,-3.3660104367058796,-3.2643279054196728,-3.143241784894768,-2.451007899839752,-2.0768593007941427,-1.4775521521185553,-0.794801770411524,-3.1375007359740748,-1.8489792073935973,-1.3952649579680343,-2.312289304321169
