Code,TOTAL_SHARES,Industry
sz000622,425226000.0,汽车
sz000623,1162769962.0,医药生物
sz000625,4802648511.0,汽车
sz000626,598634538.0,商业贸易
sz000627,4259194566.0,非银金融
sz000628,311480000.0,综合
sz000629,8589746202.0,采掘
sz000630,10526533308.0,有色金属
sz000631,2432519168.0,房地产
sz000632,465519570.0,综合
sz000633,385106373.0,有色金属
sz000635,303087602.0,化工
sz000636,895233111.0,电子
sz000637,519875356.0,化工
sz000638,309400000.0,综合
sz000639,454530468.0,农林牧渔
sz000650,1238340076.0,医药生物
sz000651,6015730878.0,家用电器
sz000652,1475573852.0,综合
sz000655,595340230.0,采掘
sz000656,5343368316.0,房地产
sz000657,628654664.0,有色金属
sz000659,1285702520.0,轻工制造
sz000661,170112265.0,医药生物
sz000662,840844445.0,计算机
sz000663,340988702.0,轻工制造
sz000665,636217448.0,传媒
sz000666,704130000.0,非银金融
sz000667,2559592332.0,房地产
sz000668,146841890.0,房地产
sz000669,486006284.0,公用事业
sz000670,816627360.0,电子
sz000671,4050073315.0,房地产
sz000672,813619871.0,建筑材料
sz000673,793334978.0,传媒
sz000676,965710782.0,传媒
sz000677,863977948.0,化工
sz000678,459611797.0,汽车
sz000679,356400000.0,商业贸易
sz000680,1240787611.0,机械设备
sz000681,700577436.0,传媒
sz000682,978163195.0,电气设备
sz000683,3900772992.0,化工
sz000685,1475111351.0,公用事业
sz000686,2340452915.0,非银金融
sz000687,766199362.0,通信
sz000688,1137299314.0,有色金属
sz000690,2175887862.0,公用事业
sz000691,323270000.0,房地产
sz000692,532832976.0,公用事业
sz000693,543491923.0,有色金属
sz000695,222147539.0,公用事业
sz000697,559680049.0,有色金属
sz000698,819514395.0,化工
sz000700,717207902.0,汽车
sz000701,406613056.0,电子
sz000702,266634576.0,农林牧渔
sz000703,1648424362.0,化工
sz000705,334123286.0,医药生物
sz000707,464145765.0,化工
sz000708,449408480.0,钢铁
sz000709,10618607852.0,钢铁
sz000710,354605865.0,汽车
sz000711,651189032.0,综合
sz000712,896000000.0,非银金融
sz000713,298875968.0,农林牧渔
sz000715,279006000.0,商业贸易
sz000716,632828444.0,食品饮料
sz000717,2419524410.0,钢铁
sz000718,3034636384.0,房地产
sz000719,1023203749.0,传媒
sz000720,863460000.0,公用事业
sz000721,499055920.0,休闲服务
sz000722,464158282.0,公用事业
sz000723,4105932102.0,采掘
sz000725,34798398763.0,电子
sz000726,922602311.0,纺织服装
sz000727,4529566980.0,电子
sz000728,2946150000.0,非银金融
sz000729,2818539341.0,食品饮料
sz000731,591484352.0,化工
sz000732,1244450720.0,房地产
sz000733,469342218.0,电子
sz000735,1151513578.0,农林牧渔
sz000736,297193885.0,房地产
sz000737,548760000.0,化工
sz000738,1145642349.0,国防军工
sz000739,1146869310.0,医药生物
sz000750,4215541972.0,非银金融
sz000751,1409869279.0,有色金属
sz000752,263758491.0,食品饮料
sz000753,991481071.0,汽车
sz000755,469264621.0,化工
sz000756,457312830.0,医药生物
sz000757,451621156.0,汽车
sz000758,1969378424.0,有色金属
sz000759,681021500.0,商业贸易
sz000760,788494628.0,汽车
sz000761,3136000000.0,钢铁
sz000762,520819240.0,采掘
sz000766,966494707.0,医药生物
sz000767,3076942219.0,公用事业
sz000768,2768645071.0,国防军工
sz000776,7621087664.0,非银金融
sz000777,383417593.0,机械设备
sz000778,3990880176.0,钢铁
sz000779,186441020.0,纺织服装
sz000780,1014306324.0,采掘
sz000782,528139623.0,化工
sz000783,5529467678.0,非银金融
sz000785,251221698.0,商业贸易
